sentence_index	sentence
823	... aen ihn vay tihng piys ahv fihlm .
824	dhah fihlm ehs riyl ah piyl wow n't biy tuw kluw niy faenz aor aed vehn cher bahfs , baht tuw muw viy gow erz hhuw ehn jhoy thihng kihng ah bawt kahm peh lihng kwehs chahnz wihdh now iy ziy aen serz .
825	dhah faekt dhaet dhah ruh kiy ihz ah nihr liy ihm peh kah bahl sih nah mae tihk ihk spih riy ahns -- ahnd ah wahn der fahl all-ages tray ahmf bih saydz -- ihz ah mih rah kahl ah kihn tuw dhah stao riy dhah fihlm paor treyz .
826	ah diy viy ahnt taa pah kahl kaa mah diy wihch ihz fah niy frahm staart tuw fih nihsh .
827	ah staart lihng ahnd frehsh ihg zae mah ney shahn ahv hhaw dhah bayk stihl rih meynz aen aem bih gyuw ahs ay kaan ihn chay niyz sah say ah tiy .
828	ah hhay liy ihn triy gihng thrih ler , kah pahld wihdh sahm ihn jhiy nyahs plaat dih vay sahz ahnd sahm lae vihsh liy bihlt seh tihngz . .
829	iht ehs ah werth wayl tuw tao riy ahl ihn kwaan tahm fih zihks ahnd slash-dash
830	aez hhyuw graent sehz rih piy tihd liy thruw awt dhah muw viy , ` lahv liy !
831	brihl yahnt ! '
832	chow ehs fihr lahs ihn pih kihng ah paart hhyuw mahn foy bahlz , naat ah freyd tuw ley hher layf behr ihn frahnt ahv aen aa diy ahns .
833	hher dih lih ver iy ahnd tay mihng aar flao lahs .
834	werks bih kaoz , faor dhah mowst paart , iht ah voydz dhah stuw pahd kliy sheyz ahnd faor myah ley ihk paat hhowlz dhaet bih faol ihts breh dhrahn .
835	aet ihts behst , dhah guhd gerl ihz ah riy freh shihng liy ah dahlt teyk aan ah dahl ter iy ...
836	aen ah mey zihng ahnd ihn sehn diy eh riy muw viy dhaet dayvz streyt ihn tuw dhah rahf wao terz ahv kaan trah dihk shahn .
837	ah bawt now wehr kihdz hhuw ah prow priy ey tihd turfs aez dhey fawnd dhehm ahnd bih kahm self-made sah leh brih tiy aeth liyts -- ah low-down ver zhahn ahv dhah ah meh rah kahn driym .
838	ah key zhah nah liy , ihn dhah kaors ahv riy vyuw ihng art-house obscurities ahnd slam-bam aek shahn flihks , ah jhey dahd krih tihk smaeks ihn tuw sahm thihng truw liy nuw .
839	ah mih nih skyuwl lih tahl bliyp aan dhah fihlm rey daar , baht wahn dhaet meh niy maor piy pahl shuhd chehk awt
840	`` 13 kaan ver sey shahnz '' hhowldz ihts guhd wihl klows , baht ihz reh lah tihv liy slow tuw kahm tuw dhah poynt .
841	ah slihk , well-oiled mah shiyn , ehk skwih ziht liy paa lihsht ahnd ah powl sterd .
842	duw n't plaen aan dhah per fehkt ehn dihng , baht swiyt hhowm ae lah bae mah hhihts dhah maark wihdh krih tihks hhuw ih skeypt frahm ah smaol tawn layf .
843	iht hhaez ah sah tahl wey ahv geh tihng ahn der yaor skihn ahnd stih kihng wihdh yuw laong aef ter iht ehs ow ver .
844	dhah muw viy steyz ahf lowt thaengks thaengks tuw ihts hhah luw sah nah tao riy prah dahk shahn dih zayn .
845	iht hhehlps dhaet dhah sehn trahl per faor merz aar ihk spih riy ahnst ahnst aek terz , ahnd dhaet dhey now dhehr rowlz sow wehl .
846	ah prow vaa kah tihv muw viy ah bawt laos , aeng ger , griyd , jheh lah siy , sihk nahs ahnd lahv .
847	werth dhah eh fert tuw waach .
848	dhaet raa rah ey vihs : dhah ihn teh lah jhahnt row maen tihk kaa mah diy wihdh aek chah wahl ay diy ahz aan ihts maynd .
849	boy ster ahs ahnd daeft daa kyah mehn ter iy .
850	hhaok draoz awt dhah behst frahm hhihz laarjh kaest ihn byuw tahf liy aar tih kyah ley tahd paor trey ahlz dhaet aar sah tahl ahnd sow ihk spreh sihv dhey kaen sah steyn dhah pow eh tihk flayts ihn ber deht ehs day ah laog .
851	ah werk ahv dhah aht mowst sah tahl tiy ahnd per sehp shahn , iht maarks dhah awt staen dihng fiy cher dey byuw ahv writer-director eh rihk bay ler , hhuw ahn der staendz dhah paw er ahv dhah ihm plih saht ahnd dhah ver chuwz ahv sihm plih sah tiy ahnd ih kaa nah miy .
852	fuhl frahn tahl ihz dhah aen tih dowt faor sow der berg faenz hhuw thihngk hhiy ehs gaon tuw kah mer shahl sihns hhihz tuw ao sker naa mah ney tahd fihlmz ihn 2000
853	iht ternz awt tuw biy ah kaht ah bahv dhah naorm , thaengks thaengks tuw sahm kleh ver ray tihng ahnd sprayt liy aek tihng .
854	yuw mayt naat waant tuw hhaeng awt wihdh sah maen thah , baht yuw 'll praa bahb liy siy ah biht ahv yer sehlf ihn hher ahn fih nihsht stao riy .
855	ah werk ahv ihn trah kaht eh lah gahns , lih ter eh riy lih rih sih zahm ahnd prow fawnd kaa mahn sehns .
856	iht ehs aez klows aez wiy 'll eh ver kahm tuw luh kihng thruw ah fah taa grah fer ehs vyuw fayn der aez hhiy werks .
857	thaot fahl , prow vaa kah tihv ahnd ehn ter tey nihng .
858	wih tiy , tah chihng ahnd wehl peyst .
859	liy jeong-hyang tehlz iht sow lah vihng liy ahnd fihlmz iht sow byuw tahf liy dhaet ay kuhd n't hhehlp biy ihng kaep tih vey tihd bay iht .
860	yuw hhaev tuw pey ah tehn shahn tuw faa low aol dhah stao riyz , baht dhey 're iych ihn trah stihng .
861	dhah muw viy ihz wehl shaat ahnd veh riy trae jhihk , ahnd wahn tuw paan der aef ter dhah kreh dihts rowl .
862	ehn jhoy iht faor waht iht ihz ; yuw kaen hheyt yer sehlf ley ter .
863	ah maep ahv dhah ih ner rih dhahmz ahv lahv ahnd jheh lah siy ahnd sae krah fays draon wihdh ah mae ster ehs steh diy strowk .
864	ah say kah laa jhih kahl thrih ler wihdh ah smaart skrihpt ahnd aen obsessive-compulsive ehs ah tehn shahn tuw dih teyl .
865	graent gehts tuw dih spley hhihz cadness tuw per fehk shahn , baht aol sow tuw show aek tihng reynjh dhaet mey ser prayz sahm hhuw thaot light-hearted kaa mah diy waaz hhihz faor tey .
866	aet taymz fah niy ahnd aet ah dher taymz kaen dihd liy rih viy lihng , iht ehs aen ihn triy gihng luhk aet tuw per faor merz hhuw puht dhehm sehlvz awt dhehr bih kaoz dhey lahv waht dhey duw .
867	westfeldt ahnd juergensen ihg zuwd ah keh mah striy ahnd kahm fert leh vahl dhaet ehs bowth sao siy ahnd ehn diy rihng .
868	hhaarsh , ih fehk tihv daa kyah mehn ter iy aan layf ihn dhah israeli-occupied pae lih stih niy ahn teh rah tao riyz .
869	dhah fihlm ihz aol ah lih tahl liht crit 101 , baht iht ehs ehk striym liy wehl pleyd ahnd ao fahn veh riy fah niy .
870	ernz ihts laefs frahm staak rehd nehk ` tayps ' ahnd frahm dhah meh niy , meh niy mow mahnts wehn wiy reh kahg nayz iy vihn wih thawt dhah eh lih zah biy thahn prowz , dhah pley bih hhaynd dhah thihng .
871	ah riyl stao riy ah bawt riyl piy pahl lih vihng dhehr lihvz kahn sernd ah bawt dhah fyuw cher ahv aen ehl der liy , mehn tah liy hhaen diy kaept fae mah liy mehm ber .
872	iht ehs aeb sah luwt liy spuw kiy hhaw lih lerd chae nahlz dhah shagster rayt dawn tuw dhah er ih jhah nahl key siy kasem-furnished voys .
873	ah driym kaest ahv saa lahd fiy meyl tae lahnt hhuw bihld ah siym lahs aan saam bahl .
874	dhehr ihz n't ah wiyk aor kehr lahs per faor mahns ah mahngst mahngst dhehm .
875	smaart say ahns fihk shahn faor grown-ups , wihdh own liy ah fyuw faols stehps ah laong dhah wey .
876	iht ehs ah rih freh shihng cheynjh frahm dhah self-interest ahnd peh rah noy ah dhaet sheyp mowst ah meh rah kahn reh prah zahn tey shahnz ahv kae strow .
877	ao fahn muw vihng ahnd ihk splaorz dhah dih skahm fert ihn hhih rahnt ihn dhah kaan taekts biht wiyn dhah ah meh rah kahn ` hhowsts ' ahnd dhehr ` gehsts . '
878	dhow dhah kaan trah ver shahl kao riy ahn fihl mey ker ehs ley tahst eh fert ihz naat faor aol teysts , iht ao ferz gaor jhahs ih mahjh riy , ih fehk tihv per faor mahn sahz , ahnd aen ihn kriy sihng liy ahn seh tah lihng sehns ahv faor bow dihng .
879	lae thahn ahnd dihgz hhaev kahn sih der ah bahl per sih nihl chaarm , ahnd dhehr skriyn rae paor meyks dhah owld stao riy siym nuw .
880	dhah stao riy mey naat biy nuw , baht ao streyl yahn der ehk ter jhaan powl sahn , mey kihng hhihz ah meh rah kahn fiy cher dey byuw , jazzes iht ahp ah droyt liy .
881	iht ehs ehn diy rihng tuw hhiyr mae dahm diy rah fer tuw hher hhahz bahnd aez ` jhae kiy ' -- ahnd hhiy dahz meyk faor ehk sah lahnt kahm pah niy , naat liyst aez ah self-conscious per faor mer .
882	dhah fihlm ao fahn ah chiyvz ah mehz mer ay zihng pow ah triy .
883	maor dhaen meyks ahp faor ihts mao kihsh pow zihng bay ao fer ihng raw zihng speyts ahv jheh nyah wahn fiy lihng .
884	iht ehs niy dher aez row maen tihk naor aez thrih lihng aez iht shuhd biy .
885	baht iht ao ferz plehn tiy tuw paan der ahnd chuw aan aez ihts ah nyuw zhuw ahl riy ley shahn shihp slow liy ahn fowldz .
886	ah key zhah nah liy fah niy , aol weyz veh riy kah ler fahl ahnd ehn jhoy ahb liy ow verb lown ihn dhah trah dih shah nahl almodã³var stayl .
887	mer chahnt ih fehk tihv liy trae nzleyts naipaul ehs layv liy mihks ahv kae rihk terz frahm dhah peyjh tuw skriyn .
888	sahm muw viyz aar layk ah tey stiy hors-d'oeuvre ; dhihs wahn ihz ah fiyst .
889	waht kuhd hhaev bih kahm jhahst ah nah dher kao shah neh riy fey bahl ihz ah lawd tuw pley awt aez ah kleh ver , chaar mihng teyl -- aez pleh zahn tliy ihn ihts own wey aez ihts self-dramatizing kae rihk terz .
890	dey vahs hhaez fihld awt hhihz kaest wihdh ah piy lihng frehsh fey sahz .
891	ah chiyvz ah saort ahv filmic ih pih fah niy dhaet reh vahlz ihn dhah truw pah tehn shahl ahv dhah miy diy ahm .
892	wahns yuw geht ihn tuw ihts rih dhahm ... dhah muw viy bih kahmz ah hheh diy ihk spih riy ahns .
893	`` ao tow fow kahs '' werks aez aen ah nyuw zhuw ahl biopic ahnd daa kyah mehnt ahv meyl swihng erz ihn dhah pley boy eh rah
894	ihf mih ster zhaeng ehs sahb jhehkt mae ter ihz , tuw sahm dih griy aet liyst , kwihn tah sehn chah liy ah meh rah kahn , hhihz ah prowch tuw stao riy teh lihng mayt biy kaold ih raa niy ahn .
895	ah fast-moving ahnd rih maar kah bahl fihlm dhaet ah pihrz deh stihnd tuw bih kahm ah laend maark ihn jhae pah niyz ae nah mey shahn .
896	... ah saw er lih tahl muw viy aet ihts kaor ; aen ehk spler ey shahn ahv dhah ehmp tiy nahs dhaet underlay dhah rih lehn tlihs gaiety ahv dhah 1920 ehs ... dhah fihlm ehs ehn dihng hhaez ah `` waht waaz iht aol faor ? ''
897	fiy lihng tuw iht , baht layk dhah 1920 ehs , dhah trihp dhehr ihz ah greyt diyl ahv fahn .
898	ah wer dhiy ehn triy ihn tuw ah veh riy dih fah kahlt zhaa nrah .
899	-lrb- bruwm fiyld -rrb- ahn kah verz ah stao riy paw er fahl ih nahf tuw liyv dhah skriyn sih zah lihng wihdh ihn triyg .
900	eyt krey ziy nayts ihz ah show keys faor saend ler ehs meh niy tae lahnts .
901	ah sweet-natured riy kahn sih der ey shahn ahv wahn ahv saen fraen sih skow ehs mowst vay tahl , ihf liyst wayd liy reh kahg nayzd , kriy ey tihv fountainheads .
902	dhihs ihz wahn ahv dhah mowst vihzh wah liy stah nihng ahnd thah mae tihk liy muw vihng eh pihks ihn riy sahnt meh mer iy , ahnd ihn spayt ahv nuw mer ahs may ner flaoz , skaor siyz ehs behst ihn maor dhaen ah deh keyd .
903	eh vriy wehr dhah kae mer ah luhks dhehr ihz sahm thihng werth siy ihng .
904	ah rihch liy ih mae jhahnd ahnd aed mer ahb liy mah chuhr werk frahm ah gihf tahd der ehk ter hhuw deh fah naht liy hhaez sahm thihng aan hhihz maynd .
905	iht ehs ah nay sliy dih teyld werld ahv paonz , bih shahps ahnd kihngz , ahv wey jherz ihn dihn jhiy bae kruwmz aor prih stiyn fao rahsts .
906	ah chaar mihng , kwer kiy ahnd liy zer liy peyst skaa tihsh kaa mah diy -- ihk sehpt wihdh aen aw trey jhahs sehn trahl gih mihk dhaet kuhd hhaev bihn ah rih jhehkt frahm maon tiy pay thaan ehs miy nihng ahv layf .
907	iht neh ver feylz tuw ehn geyjh ahs .
908	ihts der ehk shahn , ihts skrihpt , ahnd wiy ver ehs per faor mahns aez ah veyg liy dih skahn tehn tihd wuh mahn ahv sahb stahns meyk faor ah mayld liy ehn ter tey nihng 77 mih nahts , ihf dhaet ehs waht yuw 're ihn dhah muwd faor .
909	ah chaar mihng row maen tihk kaa mah diy dhaet ihz bay faar dhah lay tahst dogme fihlm ahnd ah mahng dhah mowst ehn jhoy ah bahl .
910	dhihs ihz dhah kaynd ahv muw viy dhaet yuwzd tuw biy rayt aet hhowm aet dhah sae ter diy mae tih ney , ahnd iht stihl ihz .
911	dhah spaark ahv speh shahl anime mae jhihk hhiyr ihz ahn mih stey kah bahl ahnd hhaard tuw rih zihst .
912	layk ihts tuw preh dah seh serz , 1983 ehs koyaanisqatsi ahnd 1988 ehs powaqqatsi , dhah sih nah mae tihk kah laazh naqoyqatsi kuhd biy dhah mowst navel-gazing fihlm eh ver .
913	baa raan ihz n't dhah mowst traen spaor tihng aor grih pihng fihlm frahm ih raan -- aor , ihn diyd , bay ihts der ehk ter -- baht iht ehs ah wer dhiy kahm pae nyahn tuw dhah meh niy fayn , fow kahst fihlmz ih mer jhihng frahm dhaet mowst ser pray zihng ahv ney shahnz .
914	dhah vihzh wahlz ah lown meyk mah traa pah lahs werth siy ihng .
915	daark , reh zah nahnt , inventively dih teyld ahnd paekt wihdh fliyt ternz ahv plaat ahnd ah fiyst ahv vih zhah wahl ah meyz mahnt .
916	ah pihk cher dhaet ihk stowlz dhah ver chuwz ahv comradeship ahnd kah myuw nah tiy ihn ah spahng kiy , spih rih tahd fae shahn .
917	ah reh zah nahnt teyl ahv rey sih zahm , riy vehnjh ahnd reh trah byuw shahn .
918	noys ehs fihlm ihz kahn tehm plah tihv ahnd mournfully rihf lehk tihv .
919	hhiyr , ey driy ahn layn kahmz aez klows tuw profundity aez hhiy ihz layk liy tuw geht .
920	ih vowks ah lih tahl ahv dhah fihr dhaet peh rahnts hhaev faor dhah paa sah bahl fyuw cherz ahv dhehr chihl drahn -- ahnd dhah sahm taymz baed choy sahz mah dherz ahnd faa dherz meyk ihn dhah ihn trahsts ahv duw ihng dhehm guhd .
921	reyn ihz ah smaol treh zher , ihn veh lah pihng dhah vyuw er ihn ah lih ter ahl ahnd spih rih chah wahl taor per dhaet ihz eh niy thihng baht kah thaar tihk .
922	aen eh lah gahnt , ehk skwih ziht liy maojh yuw ley tihd say kah laa jhih kahl thrih ler .
923	dhihs kahn kaak shahn , sow bah zaar tuw dhah ah dahlt maynd , ihz aek chuw ah liy ah chaar mihng tray ahmf wehr ihts ihn tehn dahd under-12 aa diy ahns ihz kahn sernd .
924	drowl caper-comedy riy meyk ahv `` bihg diyl aan mah daa nah striyt '' dhaet ehs ah slay , ah myuw zihng , laugh-filled lih tahl jhehm ihn wihch dhah ahl tah maht `` beh liy niy '' bih gihnz tuw luhk layk ah `` riyl kaputschnik . ''
925	iht ehs ah byuw tahf liy ah kaam plihsht lih rih kahl meh dah tey shahn aan ah bahnch ahv dih spaan dahnt ahnd vahl ner ah bahl kae rihk terz lih vihng ihn dhah rih nawn chehl siy hhow tehl ...
926	ihz iht ah tow tahl sahk sehs ?
927	no. .
928	ihz iht sahm thihng eh niy truw fihlm ah dihkt wihl waant tuw chehk awt ?
929	yuw beht .
930	zey niy , exuberantly ih reh ver ahnt ae nah mey tahd speys aed vehn cher .
931	dowl jhihn ahnd fraeng kow fae shahn ah fae sah ney tihng paor traht ahv ah vietnamese-born yahng ster hhuw iy ger liy ahnd iy zah liy ah sih mah ley tihd aez aen all-american gerl wihdh ah braend nuw neym ihn sah dhern teh nah siy .
932	dhah dih saar mihng cornball aet mah sfihr hhaez ah wey ahv ihn fehk tihng dhah ihn tay er krawd aez dhah fihlm rowlz aan .
933	ah riy freh shihng liy aa nahst ahnd ahl tah maht liy tah chihng teyl ahv dhah saort ahv piy pahl yuw zhah wah liy ihg naord ihn kahn tehm per eh riy ah meh rah kahn fihlm .
934	serch iht awt .
935	engrossing ahnd ah fehk tihng , ihf ahl tah maht liy naat kwayt sae tih sfay ihng .
936	dhah stao riy , layk layf , rah fyuw zahz tuw biy sihm pahl , ahnd dhah rih zahlt ihz ah kahm peh lihng slays ahv aak werd ih mow shahnz .
937	ah slay geym ahv kaet ahnd maws dhaet ehs ihn tehns ahnd thrih lihng aet taymz , baht ah key zhah nah liy streh chahz bah liy vah bih lih tiy tuw ihts lih mahts ahnd rih layz aan prih dihk tah bahl plaat kahn tray vahn sihz .
938	fah niy ahnd , aet taymz , poy nyahnt , dhah fihlm frahm der ehk ter jhaorjh hickenlooper aol teyks pleys ihn pae sah diy ner , `` ah sih tiy wehr piy pahl stihl rehd . ''
939	dhihs horror-comedy dahz n't gow faor dhah yuw zhah wahl aab viy ahs laefs aet dhah ihk spehns ahv cheap-looking maan sterz -- ahn lehs yuw kawnt ehl vay rah ehs hhuw terz .
940	dhah muw viy ehs ah vehn chuw ahl sahk sehs shuhd biy kreh dah tahd tuw deh nihs kweyd , ihn fay tihng trihm sheyp aez aen aeth liyt aez wehl aez aen aek ter
941	naat ah baed jher niy aet aol .
942	sihts ah niy zah liy aez ah hhao rer pihk cher ... baht fayndz ser pray zihng dehpth ihn ihts luhk aet dhah bayndz ahv ah smaol fae mah liy .
943	windtalkers blowz dhihs wey ahnd dhaet , baht dhehr ehs now mih stey kihng dhah fihl mey ker ihn dhah taol graes , truw tuw hhihm sehlf .
944	dhehr ihz ah rih freh shihng aeb sahns ahv sih nih sih zahm ihn stuw ert lih tahl 2 -- kwayt ah reh rah tiy , iy vihn ihn dhah fae mah liy fihlm maar kaht .
945	ih vehn chah wah liy , iht wihnz yuw ow ver .
946	noys fihlmz iht maor aez ah shaa kihng hhih ster iy leh sahn dhaen aez draa mah .
947	layk ah south-of-the-border mehl rowz pleys .
948	dhowz wihdh aen ihn trahst ihn nuw aor sihng gyah ler saorts ahv fihlm ihk spih riy ahn sihz wihl faynd waht taym ihz iht dhehr ?
949	wehl werth dhah taym .
950	ah wayld liy fah niy prih zahn key per .
951	hhah pert gihvz eh rih kah ah per sow nah dhaet ihz sow ihn triy gihng dhaet yuw faynd yer sehlf steh rihng hypnotically aet hher , tray ihng tuw ahn der staend hher ahnd wahn der ihng ihf shiy 'll kraek .
952	dih spayt waht eh niy wahn bih liyvz ah bawt dhah gowl ahv ihts mey kerz , dhah show ... reh prah zehnts ah spehk tae kyah ler piys ahv thiy ah ter , ahnd dhehr ehs now dih nay ihng dhah tae lahnt ahv dhah kriy ey tihv faor sihz bih hhaynd iht .
953	yuw 'll biy lehft wihdh dhah sehn sey shahn ahv hhae vihng jhahst wiht nahst ah greyt per faor mahns ahnd , per hhaeps , gihv ihn tuw dhah erjh tuw geht aan yaor fiyt ahnd sheyk iht .
954	dhah aek terz aar sow ter ih fihk aet kahn vey ihng dhehr yahng aangkst aangkst aangkst , wiy duw ihn diyd fiyl faor dhehm .
955	dhah riy zahn dhihs pihk cher werks beh ter dhaen ihts preh dah seh serz ihz dhaet may erz ihz now laong ger sihm pliy spuw fihng dhah mini-mod-madness ahv '60s spay muw viyz .
956	iht ihz ah kickass , dehns sci-fi aek shahn thrih ler hhay brahd dhaet dih lih verz ahnd dhehn sahm .
957	ay hhaev n't siyn wahn ihn sow laong , now wahn der ay dihd n't reh kahg nayz iht aet ferst .
958	ah kahm peh lihng paor traht ahv mao rahl ehmp tiy nahs
959	ihn adobo , ehth nih sih tiy ihz naat jhahst dhah spays , baht aet dhah hhaart ahv maor yuw nah ver sahl kahn sernz .
960	iht ihz rih dih kyah lahs , ahv kaors ... baht iht ihz aol sow rih freh shihng , dih saar mihng , ahnd jhahst aw trayt ehn jhoy ah bahl dih spayt ihts ridiculousness .
961	... bleyd ii ihz maor ehn jhoy ah bahl dhaen dhah er ih jhah nahl .
962	ah fihlm dhaet teyks yuw ihn sayd dhah rih dhahmz ahv ihts sahb jhehkt : yuw ihk spih riy ahns iht aez yuw waach .
963	dhah muw viy ihg zihsts faor ihts saa ker aek shahn ahnd ihts fayn aek tihng .
964	dhah muw viy ihz seyvd frahm ahn beh rah bahl layt nahs bay dhah sihm plih sah tiy ahv dhah stao riy teh lihng ahnd dhah ao thahn tih sih tiy ahv dhah per faor mahn sahz .
965	dhah fihlm staarts awt aez kaam pah tihnt baht ah nrih maar kah bahl ... ahnd grae jhuw ah liy growz ihn tuw sahm thihng ahv kahn sih der ah bahl paw er .
966	nah thihng deh nihs hhaez meyd bih faor , layk bow travil ahnd nenette eht bow niy , kuhd priy pehr ahs faor dhihs gao riy , per ver tihd , sex-soaked rihf aan dhah kae nah bahl zhaa nrah .
967	riy ihn faor sihz dhah tae lahnts ahv skriy nray ter chaar liy kaof mahn , kriy ey ter ahv ae dahp tey shahn ahnd biy ihng jhaan maol kah vihch .
968	griyn dih lih verz ah tih pihk liy saa lahd per faor mahns ihn ah rowl dhaet ihz ah biht ahv ah dih paar cher frahm dhah now bahl kae rihk terz hhiy hhaez pleyd ihn dhah paest , ahnd hhiy ihz maecht bay schweig , hhuw kae riyz dhah fihlm aan hhihz braod , hhaen sahm showl derz .
969	fayndz ah wey tuw tehl ah sihm pahl stao riy , per hhaeps dhah sihm plahst stao riy ahv aol , ihn ah wey dhaet siymz kahm peh lihng ahnd iy vihn er ih jhah nahl .
970	ah stah nihng piys ahv vih zhah wahl pow ah triy dhaet wihl , hhowp fah liy , biy rih mehm berd aez wahn ahv dhah mowst ihm paor tahnt stao riyz tuw biy towld ihn ao streyl yah ehs fihlm hhih ster iy .
971	dhihs ihz aart pey ihng aa mahjh tuw aart .
972	... ah jhowk aet wahns fley kiy ahnd reh zah nahnt , layt weyt ahnd bizarrely er ih jhah nahl .
973	ihn vihn sah bahl ihz ah wahn der fahl muw viy .
974	... ah kyuwt ahnd sahm taymz side-splittingly fah niy blehnd ahv liy gah liy blaand ahnd draap dehd gaor jhahs , staa rihng pay per perabo ihn waht kuhd biy hher breyk thruw rowl .
975	dae zah lihng ahnd sugar-sweet , ah blaest ahv shae low magnificence dhaet own liy sehks , skaen dahl , ahnd ah kao rahs layn ahv deyn jher ahs damsels kaen dih lih ver .
976	ah key zhah nah liy amateurishly meyd baht ah wihn sahm kaest ahnd nays day ah laog kiyps iht gow ihng .
977	jhah paen ehs preh mihr stay lihst ahv sehks ahnd blahd hhihts aa diy ahn sahz wihdh waht mey biy hhihz mowst dih mehn tihd fihlm tuw deyt .
978	kahl kihn , hhuw ehs ihn ver chuw ah liy eh ver iy siyn , shaynz aez ah yahng maen hhuw yuw sahz saar kae stihk layz layk ah shiyld .
979	kahts rayt thruw dhah b.s. gih vihng ah bihg middle-fingered `` shaht ahp '' tuw dhowz hhuw taok ahp waht ihz nah thihng maor dhaen tuw gayz biy tihng dhah hhehl uw tah wahn ah nah dher .
980	dhah am-radio sawnd traek ahnd geym kaest -- tihr niy ahnd dhah ih nih mah tah bahl wao kahn ah spehsh liy -- kiyp dhihs ah nyuw zhuw ahl kaa mah diy frahm chow kihng aan ihts own kahn siyt .
981	... dahz sahch ah fayn jhaab ahv ihn gahl fihng yuw ihn ihts werld ahnd ae lay ihng yuw wihdh ihts kae rihk terz ' choy sahz , guhd ahnd ihl , dhaet ihts shaortk ah mihngz aar rih mehm berd own liy aez aen aef ter thaat .
982	maar vah lahs , meh riy ahnd , yehs , meh lahn kaa liy fihlm .
983	frahm spih rih chah wahl riy berth tuw bruw zihng dih fiyt , vihn sahnt ehs aa dah siy reh zah neyts ihn ah prow fawnd wey , kaam per ah bahl tuw dhah klae sihk fihlmz ahv jhiyn rehn waar .
984	now vaek mae nih jhihz tuw kaep cher ah kruw liy hhih leh riy ahs veyn ahv blaek kaa mah diy ihn dhah sih chuw ey shahn wihdh hhihz kaest ahv non-actors ahnd ah grih tiy , no-budget ah prowch .
985	ihn saam niy ah ihz ihn vaal vihng .
986	stihl , ay thaot iht kuhd hhaev bihn maor .
987	dhehr waaz taym aan dhaet seh kahnd rawnd tuw siy dhah sah tahl tiyz ahv raem ziy ehs paor traht ahv griyf .
988	wiy kaen siy dhah wiylz ter nihng , ahnd wiy mayt rih zehnt iht sahm taymz , baht dhihs ihz stihl ah nays lih tahl pihk cher , meyd bay brayt ahnd frehnd liy sowlz wihdh ah laat ahv guhd chihr .
989	ah kaam priy hhehn sihv ahnd prow vaa kah tihv fihlm -- wahn dhaet puh shahz dhah bawn der iyz ahv bay aa grah fiy , ahnd chae lahn jhihz ihts aa diy ahns .
990	dhah wey kow pow lah prah feh sihz hhihz lahv faor muw viyz -- bowth kah ler fahl paap jhahngk ahnd dhah klae sihks dhaet ah niyk wih vah kah liy kwaa lah fay aez aart -- ihz giddily ehn ter tey nihng .
991	ah werth wayl wey tuw spehnd tuw aw erz .
992	francophiles wihl snih ker now ihng liy ahnd yuw 'll waant tuw slaep dhehm .
993	sehn sah tihv , ihn sayt fahl ahnd byuw tahf liy rehn derd fihlm .
994	wahn ahv dhah behst ahv dhah yihr .
995	ah lahv faor fihlmz shaynz thruw iych freym ahnd dhah eh rah ihz reh kriy ey tihd wihdh aab viy ahs ah fehk shahn , skaord tuw per fehk shahn wihdh sahm tey stiy boogaloo biyts .
996	throw ihng kaa shahn tuw dhah waynd wihdh aen ihn vih tey shahn tuw dhah hedonist ihn ahs aol , nehr hhaez kahn strahk tahd dhihs mow shahn pihk cher ihn sahch ah wey dhaet iy vihn dhah mowst sih nih kahl ker mah jhihn wihdh faynd hhihm sehlf aor hher sehlf smay lihng aet wahn taym aor ah nah dher .
997	meyks aen aborbing ihf aar gyuw ah bahl keys faor dhah maen ehs greyt nahs .
998	aen ehnd lah sliy fae sah ney tihng , laend maark muw viy dhaet ihz aez bowld aez eh niy thihng dhah sih nah mah hhaez siyn ihn yihrz .
999	... ah hhaon tihng vih zhahn , wihdh ih mah jhahz dhaet siym maor layk dih ster bihng hhah luw sah ney shahnz .
1000	iht ihz naat ah mass-market ehn ter teyn mahnt baht aen ahn kaam prah may zihng ah tehmpt bay wahn aar tahst tuw thihngk ah bawt ah nah dher .
1001	freyl tiy ihz n't aez gao riy aor ihk splih saht .
1002	baht ihn ihts child-centered , klao strah fow bihk kaan tehkst tehkst , iht kaen biy jhahst aez fray tah nihng ahnd dih ster bihng -- iy vihn pah nih shihng .
1003	mihk sahz lay kah bahl per sah nae lih tiyz , ihn vehn tihv fah taa grah fiy ahnd kah tihng , ahnd wall-to-wall toe-tapping myuw zihk tuw peynt ah pihk cher ahv ah sahb kahl cher dhaet ihz aet wahns ihg zih ler ey tihng , sih liy , per vers , hhowp fahl ahnd aol weyz fahn .
1004	dhah laong reynjh ah piyl ahv `` may nao rah tiy riy paort '' shuhd traen sehnd eh niy ah waordz iht baegz .
1005	dhihs ihz wahn faor dhah ey jhahz .
1006	-lrb- ah -rrb- suw perb liy kahn trowld , pae shah naht ae dahp tey shahn ahv grey ahm griyn ehs 1955 naa vahl .
1007	mahch monkeyfun faor aol .
1008	aen ehn chaen tihng fihlm dhaet preh zahnts aen aa dey shahs tuhr ahv dhah paest ahnd teyks wih dhihn ihts waorm eh mbreys dhah bawn tiyz ahv kahl cher ahl aar tah faekts ihn sayd st. piy terz berg ehs hher mah tahjh myuw ziy ahm .
